smiles,imageName,inchiKey
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1nccs1)c1nccs1,133.png,CEHGRCLLMICTQS-UHFFFAOYSA-N
[O-][N+](=O)C1=CC=C(C1)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(C1)[N+](=O)[O-],134.png,CERNXSRWYBBWEI-FMQUCBEESA-N
CC1=CC=C(C1)c1ccc(cc1)/N=N/c1ccc(cc1)C1=CC=C(C1)C,135.png,CFGCEWBDXHBWST-OCEACIFDSA-N
O=Cn1c(C)ccc1c1ccc(o1)/N=N/c1ccc(o1)c1ccc(n1C=O)C,136.png,CFKAHSNQPMLNNO-QURGRASLSA-N
c1ccc(cc1)c1cc2c3cc(c4ccccc4)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccccc1)cc(c5ccc4)c1ccccc1,137.png,CFZYJORKPYFCLH-UHFFFAOYSA-N
FC(c1nnc(nn1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1nnc(nn1)C(F)(F)F)(F)F,138.png,CGHHZZJMBFBKDQ-UHFFFAOYSA-N
c1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1nccs1,139.png,CGILFSCOFDTGFV-UHFFFAOYSA-N
Clc1ccc(n1C)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(n1C)Cl,140.png,CGXIVLYUPDEBCH-UHFFFAOYSA-N
Oc1ccc([nH]1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc([nH]1)O,141.png,CHLNYXQJUPTEJZ-WCWDXBQESA-N
N#Cc1ccc(s1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(s1)C#N,142.png,CITGVGJXMKEMRK-OCEACIFDSA-N
[O-][N+](=O)/C=C\c1ccc(s1)/N=N\c1ccc(s1)/C=C\[N+](=O)[O-],143.png,CKJXRRFMXGLFJE-KNOCWOPBSA-N
N#CC1=CC=C(C1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C1=CC=C(C1)C#N,144.png,CMCMKBPRJOYLGY-UHFFFAOYSA-N
C#Cc1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C#C,145.png,CNRVVCMPXWXMFW-UHFFFAOYSA-N
N#Cc1nnc(nn1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1nnc(nn1)C#N,146.png,CNSKENAQGROUTC-UHFFFAOYSA-N
