smiles,imageName,inchiKey
FC(Oc1ncc([nH]1)[C@@]1(N=N1)OC(F)(F)F)(F)F,145.png,BKDVNRQEULOUNV-UHFFFAOYSA-N
Clc1ccc([nH]1)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc([nH]1)Cl,146.png,BKEDHUNWAYXPGC-QPLCGJKRSA-N
c1csc(c1)c1cc2c3cc(c4cccs4)c4c5c3c(c3c2c2c1cccc2c(c3)c1cccs1)cc(c5ccc4)c1cccs1,147.png,BKHOJTLFEMDGBD-UHFFFAOYSA-N
N#Cc1ccc([nH]1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc([nH]1)C#N,148.png,BKZHFOYOTLVQHE-WCWDXBQESA-N
Clc1coc(n1)c1ccc(cc1)/N=N\c1ccc(cc1)c1occ(n1)Cl,149.png,BLBXSGNMYBATMG-VHXPQNKSSA-N
Clc1coc(n1)c1ccc(cc1)/N=N/c1ccc(cc1)c1occ(n1)Cl,150.png,BLBXSGNMYBATMG-WCWDXBQESA-N
Cc1ccc(n1C)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(n1C)C,151.png,BLDMYIZAXMACJZ-QPLCGJKRSA-N
Fc1cnc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(cn1)F,152.png,BLJXHHDAFQXEEU-UHFFFAOYSA-N
N#Cc1c(cc(cc1c1occ(n1)O)C#N)c1occ(n1)O,153.png,BLYXLXQFBFGIMB-UHFFFAOYSA-N
C/N=C\c1cc2ccc3c4c2c2c1ccc1c2c4c(cc1/C=N/C)cc3,154.png,BMKJMTZTUBGEFL-UIXGLJBASA-N
n1cnnc(n1)c1ccc(o1)/N=N/c1ccc(o1)c1nncnn1,155.png,BNPZTATZVAUXTB-ISLYRVAYSA-N
COc1cnc(nc1)c1ccc(o1)/N=N/c1ccc(o1)c1ncc(cn1)OC,156.png,BNSSNOFSMHQEMA-WCWDXBQESA-N
Sc1cnc(s1)c1ccc(o1)/N=N/c1ccc(o1)c1ncc(s1)S,157.png,BNYRCTWYHQXEKB-ISLYRVAYSA-N
